TIME,Capacity (Pcs/Min),,,Accumulate (Pcs/Day),,,,,,,,,,,,,,,,,,,,
(hh:mm:ss),ALL,LINE 1A,LINE 1B,ALL,LINE 1A,LINE 1B,,,,,,,,,,,,,,,,,,
6:54:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
6:55:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
6:56:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
6:57:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
6:58:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
6:59:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
7:00:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
7:01:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
7:02:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
7:03:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
7:04:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
7:05:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
7:06:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
7:07:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
7:08:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
7:09:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
7:10:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
7:11:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
7:12:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
7:13:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
7:14:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
7:15:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
7:16:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
7:17:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
7:18:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
7:19:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
7:20:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
7:21:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
7:22:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
7:23:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
7:24:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
7:25:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
7:26:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
7:27:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
7:28:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
7:29:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
7:30:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
7:31:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
7:32:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
7:33:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
7:34:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
7:35:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
7:36:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
7:37:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
7:38:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
