Request State,TTR(hr),Machine ID,Machine Name,Request ID,Requester,WO ID,Description,Location,JobTrade,JobTypeId,Responsible,WorkerG,Priority,Month,Day,Month,Day
Finished,29 hr 7 min,ENWA-240004,Store Office,MNT-00004168,1900271,WRKO-00004987,แจ้งซ่อมสริงอ่างล้างมือสโตร์ค้าง49,Work Area,Tool and Equipment,Inspection,"",ENG,4,January,8,January,9
Finished,17 hr 46 min,ENWA-240009,Producton Low Risk,MNT-00004428,1900175,WRKO-00005292,แจ้งซ่อมม่านประตูทางเข้า - ออก ไลน์ฝั่งดิบ,Work Area,Tool and Equipment,Inspection,"",ENG,4,February,13,February,13
Finished,74 hr 31 min,ENWA-240009,Producton Low Risk,MNT-00004227,1900018,WRKO-00005054,แจ้งซ่อมประตูห้องทอไก่ ฝั่งดิบเปิดไม่ได้,Work Area,ฺBuilding,Inspection,"",ENG,4,January,13,January,16
Finished,63 hr 21 min,ENWA-240009,Producton Low Risk,MNT-00004472,1900018,WRKO-00005338,แจ้งซ่อมประตูห้องทอไก่ ประตูเปิดปิดไม่ได้ค่ะ,Work Area,ฺBuilding,Inspection,"",ENG,4,February,21,February,23
Finished,13 hr 6 min,ENWA-240009,Producton Low Risk,MNT-00004334,1900271,WRKO-00005186,แจ้งซ่อมประตูห้องchill,Work Area,ฺBuilding,Inspection,1900003,ENG,4,January,30,January,30
Finished,12 hr 47 min,ENWA-240009,Producton Low Risk,MNT-00004086,1900224,WRKO-00004901,แจ้งซ่อมประตูห้อง Preparation Room3 ลูกกลิ้งประตูไม่ตรงล็อค,Work Area,Tool and Equipment,Inspection,"",ENG,4,January,2,January,2
Finished,69 hr 22 min,ENWA-240009,Producton Low Risk,MNT-00004431,1900271,WRKO-00005294,แจ้งซ่อมประตู Cold5,Work Area,Tool and Equipment,Inspection,1900003,ENG,4,February,14,February,17
Finished,14 hr 4 min,ENWA-240009,Producton Low Risk,MNT-00004083,1900238,WRKO-00004898,แจ้งซ่อมน็อตล้อรถเข็นตะกร้าหลุด,Work Area,Tool and Equipment,Inspection,"",ENG,4,January,2,January,2
Finished,9 hr 13 min,ENWA-240010,Producton Medium Risk,MNT-00004386,1900123,WRKO-00005247,แจ้งซ่อมที่จับประตูCold4,Work Area,Tool and Equipment,Inspection,"",ENG,1,February,7,February,7
Finished,137 hr 4 min,ENWA-240004,Store Office,MNT-00004263,1900271,WRKO-00005099,แจ้งซ่อมแผ่นยางกั้นขอบประตูห้องถุงสโตร์,Work Area,Tool and Equipment,Inspection,1900003,ENG,4,January,16,January,21
