Timestamp,FIT-103-ROWaterSupply_Total(m³)
31-Jan-26 4:00:00 PM ICT,431.0
31-Jan-26 5:00:00 PM ICT,431.0
31-Jan-26 6:00:00 PM ICT,431.0
31-Jan-26 7:00:00 PM ICT,431.0
31-Jan-26 8:00:00 PM ICT,431.0
31-Jan-26 9:00:00 PM ICT,431.0
31-Jan-26 10:00:00 PM ICT,431.0
31-Jan-26 11:00:00 PM ICT,431.0
01-Feb-26 12:00:00 AM ICT,431.0
01-Feb-26 1:00:00 AM ICT,431.0
01-Feb-26 2:00:00 AM ICT,431.0
01-Feb-26 3:00:00 AM ICT,431.0
01-Feb-26 4:00:00 AM ICT,431.0
01-Feb-26 5:00:00 AM ICT,431.0
01-Feb-26 6:00:00 AM ICT,431.0
01-Feb-26 7:00:00 AM ICT,431.0
01-Feb-26 8:00:00 AM ICT,431.0
01-Feb-26 9:00:00 AM ICT,431.0
01-Feb-26 10:00:00 AM ICT,431.0
01-Feb-26 11:00:00 AM ICT,431.0
01-Feb-26 12:00:00 PM ICT,431.0
01-Feb-26 1:00:00 PM ICT,431.0
01-Feb-26 2:00:00 PM ICT,431.0
01-Feb-26 3:00:00 PM ICT,431.0
01-Feb-26 4:00:00 PM ICT,431.0
01-Feb-26 5:00:00 PM ICT,431.0
01-Feb-26 6:00:00 PM ICT,431.0
01-Feb-26 7:00:00 PM ICT,431.0
01-Feb-26 8:00:00 PM ICT,431.5
01-Feb-26 9:00:00 PM ICT,432.0
01-Feb-26 10:00:00 PM ICT,432.0
01-Feb-26 11:00:00 PM ICT,432.0
02-Feb-26 12:00:00 AM ICT,432.0
02-Feb-26 1:00:00 AM ICT,432.0
02-Feb-26 2:00:00 AM ICT,432.0
02-Feb-26 3:00:00 AM ICT,432.0
02-Feb-26 4:00:00 AM ICT,432.5
02-Feb-26 5:00:00 AM ICT,433.0
02-Feb-26 6:00:00 AM ICT,433.0
02-Feb-26 7:00:00 AM ICT,433.0
02-Feb-26 8:00:00 AM ICT,434.0
02-Feb-26 9:00:00 AM ICT,435.8
02-Feb-26 10:00:00 AM ICT,437.3
02-Feb-26 11:00:00 AM ICT,438.3
02-Feb-26 12:00:00 PM ICT,440.0
02-Feb-26 1:00:00 PM ICT,440.0
02-Feb-26 2:00:00 PM ICT,441.0
02-Feb-26 3:00:00 PM ICT,442.0
02-Feb-26 4:00:00 PM ICT,442.0
02-Feb-26 5:00:00 PM ICT,442.0
02-Feb-26 6:00:00 PM ICT,442.0
02-Feb-26 7:00:00 PM ICT,442.0
02-Feb-26 8:00:00 PM ICT,443.0
02-Feb-26 9:00:00 PM ICT,443.0
02-Feb-26 10:00:00 PM ICT,443.0
02-Feb-26 11:00:00 PM ICT,443.0
03-Feb-26 12:00:00 AM ICT,443.0
03-Feb-26 1:00:00 AM ICT,443.0
03-Feb-26 2:00:00 AM ICT,443.0
03-Feb-26 3:00:00 AM ICT,443.0
03-Feb-26 4:00:00 AM ICT,443.0
03-Feb-26 5:00:00 AM ICT,443.0
03-Feb-26 6:00:00 AM ICT,443.0
03-Feb-26 7:00:00 AM ICT,443.3
03-Feb-26 8:00:00 AM ICT,446.3
03-Feb-26 9:00:00 AM ICT,447.3
03-Feb-26 10:00:00 AM ICT,449.5
03-Feb-26 11:00:00 AM ICT,451.0
03-Feb-26 12:00:00 PM ICT,451.0
03-Feb-26 1:00:00 PM ICT,451.5
03-Feb-26 2:00:00 PM ICT,452.0
03-Feb-26 3:00:00 PM ICT,452.8
03-Feb-26 4:00:00 PM ICT,453.0
