,INFEED CONVEYER,,,,,,,,,,,,,,OUTFEED CONVEYER,,,,,,,
TIME,Capacity (Pcs/Min),,,Accumulate (Pcs/Day),,,,Belt Speed (Hz),,,,,,Operation time,Accumulate,Belt Speed (Hz),,,,,,
(hh:mm:ss),ALL,LINE 2,LINE 3,ALL,LINE 2,LINE 3,FREEZER CAPACITY,M04A,M04B,M07,M08,M09,M10,Hr.,Pcs/Day,M11,M12,M13,,,,
2:31:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
2:32:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
2:33:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
2:34:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
2:35:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
2:36:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
2:37:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
2:38:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
2:39:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
2:40:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
2:41:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
2:42:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
2:43:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
2:44:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
2:45:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
2:46:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
2:47:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
2:48:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
2:49:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
2:50:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
2:51:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
2:52:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
2:53:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
2:54:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
2:55:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
2:56:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
2:57:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
2:58:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
